new_prompt,subject,attribute
Which continent does Toulouse belong to?,Toulouse,Europe
What is the capital of Indonesia?,Indonesia,Jakarta
What is the native language of Bernard Giraudeau?,Bernard Giraudeau,French
What is the original language mix of Il Posto?,Il Posto,Italian
What religion does Hersekzade Ahmed Pasha follow?,Hersekzade Ahmed Pasha,Islam
Who are the creators of iTunes Radio?,iTunes Radio,Apple
In which country did tatami originate?,tatami,Japan
What position does Gregory of Nazianzus hold?,Gregory of Nazianzus,bishop
What was the original language in which Die Nibelungen was written?,Die Nibelungen,German
"On which network does ""The Young and the Restless"" premiere?",The Young and the Restless,CBS
In which city did Yves Rocard die?,Yves Rocard,Paris
Who developed Mario Bros. ?,Mario Bros.,Nintendo
Which continent does the Viking Age belong to?,Viking Age,Europe
To which continent does the Sjogren Glacier belong?,Sjogren Glacier,Antarctica
In which city did David Mellor work?,David Mellor,London
In which city did Donato Bramante die?,Donato Bramante,Rome
Who developed the Lexus LF?,Lexus LF,Toyota
Who created Windows Embedded CE 6.0?,Windows Embedded CE 6.0,Microsoft
What religion does Abdolkarim Soroush follow?,Abdolkarim Soroush,Islam
What is the native language of Alfred Savoir?,Alfred Savoir,French
What city is the headquarters of All India Anna Dravida Munnetra Kazhagam located in?,All India Anna Dravida Munnetra Kazhagam,Chennai
On what network did Microsoap premiere?,Microsoap,BBC
Where was Adolphe d'Ennery born?,Adolphe d'Ennery,Paris
On which network does The Late Late Show with Craig Ferguson premiere?,The Late Late Show with Craig Ferguson,CBS
What is the nationality of Arne Vidar Røed?,Arne Vidar Røed,Norway
In which city did Antoni Brodowski work in the office of the mayor?,Antoni Brodowski,Warsaw
What company is Jeff Zucker associated with?,Jeff Zucker,CNN
What language is Ne partez pas sans moi written in?,Ne partez pas sans moi,French
What is the capital of Peru?,Peru,Lima
What type of music did Miles Davis play a role in?,Miles Davis,jazz
Where was the 2004 Australian Open held?,2004 Australian Open,Melbourne
Where is the Norwegian Museum of Cultural History located?,Norwegian Museum of Cultural History,Oslo
Who employs Jeremy Vine?,Jeremy Vine,BBC
"In which city's heart is Hope and Anchor, Islington located?","Hope and Anchor, Islington",London
Who developed Sandy Bridge?,Sandy Bridge,Intel
What was the capital of the Second Spanish Republic?,Second Spanish Republic,Madrid
In which language is Le Mauricien written?,Le Mauricien,French
Who developed Windows Live Mail?,Windows Live Mail,Microsoft
What is the capital city of the Commonwealth of England?,Commonwealth of England,London
Where did Tokyo Mew Mew originate?,Tokyo Mew Mew,Japan
What genre of mix does The Enchanter Reborn play?,The Enchanter Reborn,fantasy
To which continent does Johnson Glacier belong?,Johnson Glacier,Antarctica
What religion does Dildar Ali Naseerabadi follow?,Dildar Ali Naseerabadi,Islam
What is the native language of Marguerite Yourcenar?,Marguerite Yourcenar,French
In which city was Chanel started?,Chanel,Paris
Who developed the iPhone 3GS?,iPhone 3GS,Apple
"What language is a mixture in ""Mi Reflejo""?",Mi Reflejo,Spanish
Which continent does Chandigarh belong to?,Chandigarh,Asia
On which network did Outside the Lines debut?,Outside the Lines,ESPN
Where was Hideki Shirakawa born?,Hideki Shirakawa,Tokyo
Where is the headquarters of Weta Digital located?,Weta Digital,Wellington
In which city did William Bayliss die?,William Bayliss,London
What sport does Juninho Pernambucano play professionally?,Juninho Pernambucano,soccer
Who developed Internet Explorer 10?,Internet Explorer 10,Microsoft
What sport does Russell Wilson professionally play?,Russell Wilson,football
What religion does Ibn Battuta follow?,Ibn Battuta,Islam
What was the original language in which De Officiis was written?,De Officiis,Latin
Who does Lyse Doucet work for?,Lyse Doucet,BBC
Where is the headquarters of the Minnesota Strikers located?,Minnesota Strikers,Minneapolis
"In which city did Sir William Dunn, 1st Baronet, of Lakenheath die?","Sir William Dunn, 1st Baronet, of Lakenheath",London
Who produced the Wii Balance Board?,Wii Balance Board,Nintendo
Which network was Gwen Ifill a part of?,Gwen Ifill,PBS
What religion does Osman I follow?,Osman I,Islam
What nationality is Henri Maurice Berteaux?,Henri Maurice Berteaux,France
Which continent does The Hague belong to?,The Hague,Europe
In which city is Myongji University located?,Myongji University,Seoul
Which organization is the Costa Rican Football Federation part of?,Costa Rican Football Federation,FIFA
On which platform does Trailer Park Boys premiere?,Trailer Park Boys,Netflix
What position does Gareth Barry play in central?,Gareth Barry,midfielder
Which city's airport is Gatwick Airport named after?,Gatwick Airport,London
What was the capital city of the Second Polish Republic?,Second Polish Republic,Warsaw
What field does Charles Babbage work in?,Charles Babbage,mathematics
In which city did Charles Louis Alphonse Laveran die?,Charles Louis Alphonse Laveran,Paris
What is the nationality of Buichi Terasawa?,Buichi Terasawa,Japan
In the middle of which state is Nez Perce County located?,Nez Perce County,Idaho
What is the language spoken in Luhansk Oblast?,Luhansk Oblast,Russian
In which field of study did Tycho Brahe have expertise?,Tycho Brahe,astronomy
What is the language in which Sesamstraat is written?,Sesamstraat,Dutch
What nationality was the author of Birobidzhaner Shtern written in the late 19th century?,Birobidzhaner Shtern,Russian
What citizenship does Mohammad-Taqi Mesbah-Yazdi hold?,Mohammad-Taqi Mesbah-Yazdi,Iran
Where did Monster Rancher originate?,Monster Rancher,Japan
Where is the headquarters of United Airlines located?,United Airlines,Chicago
In which language is La Vie written?,La Vie,French
"What is the country where Buenos Aires Herald, the oldest daily newspaper created in 1891, is located?",Buenos Aires Herald,Argentina
What is the language spoken in Argentina?,Argentina,Spanish
Where was Matias Kupiainen born?,Matias Kupiainen,Helsinki
With which organization is the Spain national football team affiliated?,Spain national football team,FIFA
Which country is Isola Dovarese located in?,Isola Dovarese,Italy
On which TV network did The Bill Cosby Show debut?,The Bill Cosby Show,NBC
What is the native language of Anastasy Vonsyatsky?,Anastasy Vonsyatsky,Russian
Where is the Open University of Catalonia in the process of establishing a new university?,Open University of Catalonia,Barcelona
In which country did Bandai Channel start?,Bandai Channel,Japan
Where is the headquarters of Canada West Foundation located?,Canada West Foundation,Calgary
Who developed the Lexus RX?,Lexus RX,Toyota
What is the nationality of Henrik Zetterberg?,Henrik Zetterberg,Sweden
What is the native language of Alexandre Auguste Ledru-Rollin?,Alexandre Auguste Ledru-Rollin,French
What instrument was Aretha Franklin playing?,Aretha Franklin,piano
What position does Sean Glennon play in?,Sean Glennon,quarterback
What is the capital city of the Kingdom of the Netherlands?,Kingdom of the Netherlands,Amsterdam
In what type of performances is Raina Kabaivanska known for around the world?,Raina Kabaivanska,opera
"What is the original language of Chennai 600028, a mixture of?",Chennai 600028,Tamil
Which continent does the Prussian Partition belong to?,Prussian Partition,Europe
In which city did Joseph Locke work?,Joseph Locke,London
In which language is Die Tageszeitung written?,Die Tageszeitung,German
"What language is ""A las Barricadas"" written in?",A las Barricadas,Spanish
What language is spoken in a mixture form in Geneva?,Geneva,French
In which field of chemistry does the Italian Chemical Society specialize ?,Italian Chemical Society,chemistry
Who employs Terry Wogan?,Terry Wogan,BBC
Who developed the Wii U?,Wii U,Nintendo
On which network was The Famous Teddy Z originally aired?,The Famous Teddy Z,CBS
Where can Gamescom be found?,Gamescom,Cologne
In which city's downtown is the Mayo Clinic headquartered?,Mayo Clinic,Rochester
In which area of science does David Bohm work?,David Bohm,physics
What was the capital city of Abbasid Caliphate?,Abbasid Caliphate,Baghdad
In which country's south is Hohenlohe located?,Hohenlohe,Germany
From which city does Aisha originate?,Aisha,Mecca
What instrument does Tomaso Antonio Vitali play?,Tomaso Antonio Vitali,violin
In which city did Tony Benn die?,Tony Benn,London
What is the language spoken in Asturias?,Asturias,Spanish
Who developed Android Auto?,Android Auto,Google
Who employs Jon Sopel?,Jon Sopel,BBC
What instrument does Romain-Octave Pelletier I play?,Romain-Octave Pelletier I,piano
What is the position held by Saint Boniface?,Saint Boniface,bishop
What language is Kieler Nachrichten written in?,Kieler Nachrichten,German
What sport does Jerry West play professionally?,Jerry West,basketball
What is the language spoken in South Georgia and the South Sandwich Islands?,South Georgia and the South Sandwich Islands,English
What is the profession of Michael Dorn?,Michael Dorn,actor
What is the capital of the United Kingdom of Great Britain and Ireland?,United Kingdom of Great Britain and Ireland,London
What instrument does Franz Liszt play?,Franz Liszt,piano
What is the capital city of the Central Bohemian Region?,Central Bohemian Region,Prague
In which country was Arisaka created?,Arisaka,Japan
What is the capital of Lazio?,Lazio,Rome
In which country is Eredivisie located?,Eredivisie,Netherlands
Where are the headquarters of the Russian State Archive of Literature and Art located?,Russian State Archive of Literature and Art,Moscow
What city was Pittsburg County named after?,Pittsburg County,Pittsburgh
Who employs John Humphrys?,John Humphrys,BBC
In which city did Evgeny Lifshitz pass away?,Evgeny Lifshitz,Moscow
Who employs Victoria Derbyshire ?,Victoria Derbyshire,BBC
Which city has the Griebnitz Canal within its boundaries?,Griebnitz Canal,Berlin
What is the language spoken in Iran?,Iran,Persian
What is the native language of Nikolay Strakhov?,Nikolay Strakhov,Russian
What instrument does Alice Coltrane perform on?,Alice Coltrane,piano
At what age and in which city did Ernst Reuter die?,Ernst Reuter,Berlin
What was the capital of the Spanish East Indies?,Spanish East Indies,Manila
What is the nationality of Peggy Nash?,Peggy Nash,Canada
In which city did the King David Hotel bombing occur?,King David Hotel bombing,Jerusalem
Which language is very similar to the language used by Ch'ien Mu?,Ch'ien Mu,Chinese
In which city did Louis Nicolas Vauquelin work?,Louis Nicolas Vauquelin,Paris
What nationality is Jean-Jacques Annaud who speaks to the media after a meeting?,Jean-Jacques Annaud,French
In the heart of which city is St Patrick's Athletic F.C. headquartered?,St Patrick's Athletic F.C.,Dublin
What is the native language of Edward Bulwer-Lytton?,Edward Bulwer-Lytton,English
In which field does Lev Vygotsky work?,Lev Vygotsky,psychology
In which country did the Mainichi Shinbun originate?,Mainichi Shinbun,Japan
What is the official religion of Talmud Torah school?,Talmud Torah school,Judaism
"Where is the National Memorial Cemetery of the Pacific located, in the heart of which city?",National Memorial Cemetery of the Pacific,Honolulu
Where did Nodame Cantabile originate?,Nodame Cantabile,Japan
What religion does Al-Mutawakkil follow?,Al-Mutawakkil,Islam
What language is spoken in the history of Limousin?,history of Limousin,French
Who does Bill Gates work for?,Bill Gates,Microsoft
What is the citizenship of Frans Hubert Edouard Arthur Walter Robyns?,Frans Hubert Edouard Arthur Walter Robyns,Belgium
